"X1","X2","bigram","label"
"set","stabilise","set stabilise","business"
"stabilise","alan","stabilise alan","business"
"alan","greenspan","alan greenspan","business"
"greenspan","highlighted","greenspan highlighted","business"
"highlighted","governments","highlighted governments","business"
"governments","willingness","governments willingness","business"
"willingness","curb","willingness curb","business"
"curb","spending","curb spending","business"
"spending","rising","spending rising","business"
"rising","household","rising household","business"
"household","savings","household savings","business"
"savings","factors","savings factors","business"
"factors","reduce","factors reduce","business"
"reduce","late","reduce late","business"
"late","trading","late trading","business"
"trading","york","trading york","business"
"york","dollar","york dollar","business"
"dollar","reached","dollar reached","business"
"reached","euro","reached euro","business"
"euro","thursday","euro thursday","business"
"thursday","market","thursday market","business"
"market","concerns","market concerns","business"
"concerns","deficit","concerns deficit","business"
"deficit","hit","deficit hit","business"
"hit","greenback","hit greenback","business"
"greenback","recent","greenback recent","business"
"recent","friday","recent friday","business"
"friday","federal","friday federal","business"
"federal","reserve","federal reserve","business"
"reserve","chairman","reserve chairman","business"
"chairman","greenspans","chairman greenspans","business"
"greenspans","speech","greenspans speech","business"
"speech","london","speech london","business"
"london","ahead","london ahead","business"
"ahead","meeting","ahead meeting","business"
"meeting","finance","meeting finance","business"
"finance","ministers","finance ministers","business"
"ministers","dollar","ministers dollar","business"
"dollar","earlier","dollar earlier","business"
"earlier","tumbled","earlier tumbled","business"
"tumbled","worsethanexpected","tumbled worsethanexpected","business"
"worsethanexpected","jobs","worsethanexpected jobs","business"
"jobs","data","jobs data","business"
"data","chairmans","data chairmans","business"
"chairmans","taking","chairmans taking","business"
"taking","sanguine","taking sanguine","business"
"sanguine","view","sanguine view","business"
"view","current","view current","business"
"current","account","current account","business"
"account","deficit","account deficit","business"
"deficit","hes","deficit hes","business"
"hes","time","hes time","business"
"time","robert","time robert","business"
"robert","sinche","robert sinche","business"
"sinche","head","sinche head","business"
"head","currency","head currency","business"
"currency","strategy","currency strategy","business"
"strategy","bank","strategy bank","business"
"bank","america","bank america","business"
"america","york","america york","business"
"york","hes","york hes","business"
"hes","taking","hes taking","business"
"taking","longerterm","taking longerterm","business"
"longerterm","view","longerterm view","business"
"view","laying","view laying","business"
"laying","set","laying set","business"
"set","conditions","set conditions","business"
"conditions","current","conditions current","business"
"current","account","current account","business"
"account","deficit","account deficit","business"
"deficit","improve","deficit improve","business"
"improve","worries","improve worries","business"
"worries","deficit","worries deficit","business"
"deficit","concerns","deficit concerns","business"
"concerns","china","concerns china","business"
"china","remain","china remain","business"
"remain","chinas","remain chinas","business"
"chinas","currency","chinas currency","business"
"currency","remains","currency remains","business"
"remains","pegged","remains pegged","business"
"pegged","dollar","pegged dollar","business"
"dollar","currencys","dollar currencys","business"
"currencys","sharp","currencys sharp","business"
"sharp","falls","sharp falls","business"
"falls","recent","falls recent","business"
"recent","chinese","recent chinese","business"
"chinese","export","chinese export","business"
"export","prices","export prices","business"
"prices","highly","prices highly","business"
"highly","competitive","highly competitive","business"
"competitive","calls","competitive calls","business"
"calls","shift","calls shift","business"
"shift","beijings","shift beijings","business"
"beijings","policy","beijings policy","business"
"policy","fallen","policy fallen","business"
"fallen","deaf","fallen deaf","business"
"deaf","ears","deaf ears","business"
"ears","recent","ears recent","business"
"recent","comments","recent comments","business"
"comments","major","comments major","business"
"major","chinese","major chinese","business"
"chinese","newspaper","chinese newspaper","business"
"newspaper","time","newspaper time","business"
"time","ripe","time ripe","business"
"ripe","loosening","ripe loosening","business"
"loosening","peg","loosening peg","business"
"peg","meeting","peg meeting","business"
"meeting","produce","meeting produce","business"
"produce","meaningful","produce meaningful","business"
"meaningful","movement","meaningful movement","business"
"movement","chinese","movement chinese","business"
"chinese","policy","chinese policy","business"
"policy","meantime","policy meantime","business"
"meantime","federal","meantime federal","business"
"federal","reserves","federal reserves","business"
"reserves","decision","reserves decision","business"
"decision","february","decision february","business"
"february","boost","february boost","business"
"boost","rates","boost rates","business"
"rates","quarter","rates quarter","business"
"quarter","sixth","quarter sixth","business"
"sixth","move","sixth move","business"
"move","differential","move differential","business"
"differential","european","differential european","business"
"european","rates","european rates","business"
"rates","halfpoint","rates halfpoint","business"
"halfpoint","window","halfpoint window","business"
"window","assets","window assets","business"
"assets","attractive","assets attractive","business"
"attractive","prop","attractive prop","business"
"prop","dollar","prop dollar","business"
"dollar","recent","dollar recent","business"
"recent","falls","recent falls","business"
"falls","partly","falls partly","business"
"partly","result","partly result","business"
"result","budget","result budget","business"
"budget","deficits","budget deficits","business"
"deficits","uss","deficits uss","business"
"uss","yawning","uss yawning","business"
"yawning","current","yawning current","business"
"current","account","current account","business"
"account","gap","account gap","business"
"gap","funded","gap funded","business"
"funded","buying","funded buying","business"
"buying","bonds","buying bonds","business"
"bonds","assets","bonds assets","business"
"assets","foreign","assets foreign","business"
"foreign","firms","foreign firms","business"
"firms","governments","firms governments","business"
"governments","white","governments white","business"
"white","house","white house","business"
"house","announce","house announce","business"
"announce","budget","announce budget","business"
"budget","monday","budget monday","business"
"monday","commentators","monday commentators","business"
"commentators","deficit","commentators deficit","business"
"deficit","remain","deficit remain","business"
"remain","close","remain close","business"
"close","half","close half","business"
"half","trillion","half trillion","business"
"trillion","dollars","trillion dollars","business"
"dollars","yukos","dollars yukos","business"
"yukos","unit","yukos unit","business"
"unit","buyer","unit buyer","business"
"buyer","loan","buyer loan","business"
"loan","claim","loan claim","business"
"claim","owners","claim owners","business"
"owners","embattled","owners embattled","business"
"embattled","russian","embattled russian","business"
"russian","oil","russian oil","business"
"oil","giant","oil giant","business"
"giant","yukos","giant yukos","business"
"yukos","buyer","yukos buyer","business"
"buyer","production","buyer production","business"
"production","unit","production unit","business"
"unit","pay","unit pay","business"
"pay","loan","pay loan","business"
"loan","stateowned","loan stateowned","business"
"stateowned","rosneft","stateowned rosneft","business"
"rosneft","bought","rosneft bought","business"
"bought","yugansk","bought yugansk","business"
"yugansk","unit","yugansk unit","business"
"unit","sale","unit sale","business"
"sale","forced","sale forced","business"
"forced","russia","forced russia","business"
"russia","settle","russia settle","business"
"settle","tax","settle tax","business"
"tax","claim","tax claim","business"
"claim","yukos","claim yukos","business"
"yukos","yukos","yukos yukos","business"
"yukos","owner","yukos owner","business"
"owner","menatep","owner menatep","business"
"menatep","rosneft","menatep rosneft","business"
"rosneft","repay","rosneft repay","business"
"repay","loan","repay loan","business"
"loan","yugansk","loan yugansk","business"
"yugansk","secured","yugansk secured","business"
"secured","assets","secured assets","business"
"assets","rosneft","assets rosneft","business"
"rosneft","similar","rosneft similar","business"
"similar","repayment","similar repayment","business"
"repayment","demand","repayment demand","business"
"demand","foreign","demand foreign","business"
"foreign","banks","foreign banks","business"
"banks","legal","banks legal","business"
"legal","experts","legal experts","business"
"experts","rosnefts","experts rosnefts","business"
"rosnefts","purchase","rosnefts purchase","business"
"purchase","yugansk","purchase yugansk","business"
"yugansk","include","yugansk include","business"
"include","obligations","include obligations","business"
"obligations","pledged","obligations pledged","business"
"pledged","assets","pledged assets","business"
"assets","rosneft","assets rosneft","business"
"rosneft","pay","rosneft pay","business"
"pay","real","pay real","business"
"real","money","real money","business"
"money","creditors","money creditors","business"
"creditors","avoid","creditors avoid","business"
"avoid","seizure","avoid seizure","business"
"seizure","yugansk","seizure yugansk","business"
"yugansk","assets","yugansk assets","business"
"assets","moscowbased","assets moscowbased","business"
"moscowbased","lawyer","moscowbased lawyer","business"
"lawyer","jamie","lawyer jamie","business"
"jamie","firestone","jamie firestone","business"
"firestone","connected","firestone connected","business"
"connected","menatep","connected menatep","business"
"menatep","managing","menatep managing","business"
"managing","director","managing director","business"
"director","tim","director tim","business"
"tim","osborne","tim osborne","business"
"osborne","told","osborne told","business"
"told","reuters","told reuters","business"
"reuters","news","reuters news","business"
"news","agency","news agency","business"
"agency","default","agency default","business"
"default","fight","default fight","business"
"fight","rule","fight rule","business"
"rule","law","rule law","business"
"law","exists","law exists","business"
"exists","international","exists international","business"
"international","arbitration","international arbitration","business"
"arbitration","clauses","arbitration clauses","business"
"clauses","credit","clauses credit","business"
"credit","rosneft","credit rosneft","business"
"rosneft","officials","rosneft officials","business"
"officials","unavailable","officials unavailable","business"
"unavailable","comment","unavailable comment","business"
"comment","company","comment company","business"
"company","intends","company intends","business"
"intends","action","intends action","business"
"action","menatep","action menatep","business"
"menatep","recover","menatep recover","business"
"recover","tax","recover tax","business"
"tax","claims","tax claims","business"
"claims","debts","claims debts","business"
"debts","owed","debts owed","business"
"owed","yugansk","owed yugansk","business"
"yugansk","yukos","yugansk yukos","business"
"yukos","filed","yukos filed","business"
"filed","bankruptcy","filed bankruptcy","business"
"bankruptcy","protection","bankruptcy protection","business"
"protection","court","protection court","business"
"court","attempt","court attempt","business"
"attempt","prevent","attempt prevent","business"
"prevent","forced","prevent forced","business"
"forced","sale","forced sale","business"
"sale","main","sale main","business"
"main","production","main production","business"
"production","arm","production arm","business"
"arm","sale","arm sale","business"
"sale","ahead","sale ahead","business"
"ahead","december","ahead december","business"
"december","yugansk","december yugansk","business"
"yugansk","sold","yugansk sold","business"
"sold","littleknown","sold littleknown","business"
"littleknown","shell","littleknown shell","business"
"shell","company","shell company","business"
"company","bought","company bought","business"
"bought","rosneft","bought rosneft","business"
"rosneft","yukos","rosneft yukos","business"
"yukos","claims","yukos claims","business"
"claims","downfall","claims downfall","business"
"downfall","punishment","downfall punishment","business"
"punishment","political","punishment political","business"
"political","ambitions","political ambitions","business"
"ambitions","founder","ambitions founder","business"
"founder","mikhail","founder mikhail","business"
"mikhail","khodorkovsky","mikhail khodorkovsky","business"
"khodorkovsky","vowed","khodorkovsky vowed","business"
"vowed","sue","vowed sue","business"
"sue","participant","sue participant","business"
"participant","sale","participant sale","business"
"sale","fuel","sale fuel","business"
"fuel","prices","fuel prices","business"
"prices","hit","prices hit","business"
"hit","bas","hit bas","business"
"bas","profits","bas profits","business"
"profits","british","profits british","business"
"british","airways","british airways","business"
"airways","blamed","airways blamed","business"
"blamed","fuel","blamed fuel","business"
"fuel","prices","fuel prices","business"
"prices","drop","prices drop","business"
"drop","profits","drop profits","business"
"profits","reporting","profits reporting","business"
"reporting","results","reporting results","business"
"results","december","results december","business"
"december","airline","december airline","business"
"airline","pretax","airline pretax","business"
"pretax","profit","pretax profit","business"
"profit","compared","profit compared","business"
"compared","earlier","compared earlier","business"
"earlier","rod","earlier rod","business"
"rod","eddington","rod eddington","business"
"eddington","bas","eddington bas","business"
"bas","chief","bas chief","business"
"chief","executive","chief executive","business"
"executive","results","executive results","business"
"results","respectable","results respectable","business"
"respectable","quarter","respectable quarter","business"
"quarter","fuel","quarter fuel","business"
"fuel","costs","fuel costs","business"
"costs","rose","costs rose","business"
"rose","bas","rose bas","business"
"bas","profits","bas profits","business"
"profits","market","profits market","business"
"market","expectation","market expectation","business"
"expectation","expects","expectation expects","business"
"expects","rise","expects rise","business"
"rise","fullyear","rise fullyear","business"
"fullyear","revenues","fullyear revenues","business"
"revenues","offset","revenues offset","business"
"offset","increased","offset increased","business"
"increased","price","increased price","business"
"price","aviation","price aviation","business"
"aviation","fuel","aviation fuel","business"
"fuel","ba","fuel ba","business"
"ba","introduced","ba introduced","business"
"introduced","fuel","introduced fuel","business"
"fuel","surcharge","fuel surcharge","business"
"surcharge","passengers","surcharge passengers","business"
"passengers","october","passengers october","business"
"october","increased","october increased","business"
"increased","oneway","increased oneway","business"
"oneway","longhaul","oneway longhaul","business"
"longhaul","flights","longhaul flights","business"
"flights","shorthaul","flights shorthaul","business"
"shorthaul","surcharge","shorthaul surcharge","business"
"surcharge","raised","surcharge raised","business"
"raised","leg","raised leg","business"
"leg","aviation","leg aviation","business"
"aviation","analyst","aviation analyst","business"
"analyst","mike","analyst mike","business"
"mike","powell","mike powell","business"
"powell","dresdner","powell dresdner","business"
"dresdner","kleinwort","dresdner kleinwort","business"
"kleinwort","wasserstein","kleinwort wasserstein","business"
"wasserstein","bas","wasserstein bas","business"
"bas","estimated","bas estimated","business"
"estimated","annual","estimated annual","business"
"annual","surcharge","annual surcharge","business"
"surcharge","revenues","surcharge revenues","business"
"revenues","short","revenues short","business"
"short","additional","short additional","business"
"additional","fuel","additional fuel","business"
"fuel","costs","fuel costs","business"
"costs","predicted","costs predicted","business"
"predicted","extra","predicted extra","business"
"extra","turnover","extra turnover","business"
"turnover","quarter","turnover quarter","business"
"quarter","benefiting","quarter benefiting","business"
"benefiting","rise","benefiting rise","business"
"rise","cargo","rise cargo","business"
"cargo","revenue","cargo revenue","business"
"revenue","ahead","revenue ahead","business"
"ahead","results","ahead results","business"
"results","march","results march","business"
"march","ba","march ba","business"
"ba","warned","ba warned","business"
"warned","yields","warned yields","business"
"yields","average","yields average","business"
"average","revenues","average revenues","business"
"revenues","passenger","revenues passenger","business"
"passenger","expected","passenger expected","business"
"expected","decline","expected decline","business"
"decline","continues","decline continues","business"
"continues","lower","continues lower","business"
"lower","prices","lower prices","business"
"prices","competition","prices competition","business"
"competition","lowcost","competition lowcost","business"
"lowcost","carriers","lowcost carriers","business"
"carriers","sales","carriers sales","business"
"sales","previously","sales previously","business"
"previously","forecast","previously forecast","business"
"forecast","march","forecast march","business"
"march","total","march total","business"
"total","revenue","total revenue","business"
"revenue","outlook","revenue outlook","business"
"outlook","slightly","outlook slightly","business"
"slightly","previous","slightly previous","business"
"previous","guidance","previous guidance","business"
"guidance","improvement","guidance improvement","business"
"improvement","anticipated","improvement anticipated","business"
"anticipated","ba","anticipated ba","business"
"ba","chairman","ba chairman","business"
"chairman","martin","chairman martin","business"
"martin","broughton","martin broughton","business"
"broughton","ba","broughton ba","business"
"ba","previously","ba previously","business"
"previously","forecast","previously forecast","business"
"forecast","rise","forecast rise","business"
"rise","fullyear","rise fullyear","business"
"fullyear","revenue","fullyear revenue","business"
"revenue","reported","revenue reported","business"
"reported","friday","reported friday","business"
"friday","passenger","friday passenger","business"
"passenger","rose","passenger rose","business"
"rose","january","rose january","business"
"january","aviation","january aviation","business"
"aviation","analyst","aviation analyst","business"
"analyst","nick","analyst nick","business"
"nick","van","nick van","business"
"van","den","van den","business"
"den","brul","den brul","business"
"brul","bnp","brul bnp","business"
"bnp","paribas","bnp paribas","business"
"paribas","bas","paribas bas","business"
"bas","quarterly","bas quarterly","business"
"quarterly","results","quarterly results","business"
"results","pretty","results pretty","business"
"pretty","modest","pretty modest","business"
"modest","revenue","modest revenue","business"
"revenue","impact","revenue impact","business"
"impact","fuel","impact fuel","business"
"fuel","surcharges","fuel surcharges","business"
"surcharges","positive","surcharges positive","business"
"positive","cargo","positive cargo","business"
"cargo","development","cargo development","business"
"development","operating","development operating","business"
"operating","margins","operating margins","business"
"margins","cost","margins cost","business"
"cost","impact","cost impact","business"
"impact","fuel","impact fuel","business"
"fuel","strong","fuel strong","business"
"strong","september","strong september","business"
"september","attacks","september attacks","business"
"attacks","united","attacks united","business"
"united","ba","united ba","business"
"ba","cut","ba cut","business"
"cut","jobs","cut jobs","business"
"jobs","major","jobs major","business"
"major","costcutting","major costcutting","business"
"costcutting","drive","costcutting drive","business"
"drive","focus","drive focus","business"
"focus","remains","focus remains","business"
"remains","reducing","remains reducing","business"
"reducing","controllable","reducing controllable","business"
"controllable","costs","controllable costs","business"
"costs","debt","costs debt","business"
"debt","whilst","debt whilst","business"
"whilst","continuing","whilst continuing","business"
"continuing","invest","continuing invest","business"
"invest","products","invest products","business"
"products","eddington","products eddington","business"
"eddington","delivery","eddington delivery","business"
"delivery","airbus","delivery airbus","business"
"airbus","aircraft","airbus aircraft","business"
"aircraft","start","aircraft start","business"
"start","improvements","start improvements","business"
"improvements","club","improvements club","business"
"club","world","club world","business"
"world","flat","world flat","business"
"flat","beds","flat beds","business"
"beds","bas","beds bas","business"
"bas","shares","bas shares","business"
"shares","closed","shares closed","business"
"closed","pence","closed pence","business"
"pence","pence","pence pence","business"
"pence","pernod","pence pernod","business"
"pernod","takeover","pernod takeover","business"
"takeover","talk","takeover talk","business"
"talk","lifts","talk lifts","business"
"lifts","domecq","lifts domecq","business"
"domecq","shares","domecq shares","business"
"shares","uk","shares uk","business"
"uk","drinks","uk drinks","business"
"drinks","food","drinks food","business"
"food","firm","food firm","business"
"firm","allied","firm allied","business"
"allied","domecq","allied domecq","business"
"domecq","risen","domecq risen","business"
"risen","speculation","risen speculation","business"
"speculation","target","speculation target","business"
"target","takeover","target takeover","business"
"takeover","frances","takeover frances","business"
"frances","pernod","frances pernod","business"
"pernod","ricard","pernod ricard","business"
"ricard","reports","ricard reports","business"
"reports","wall","reports wall","business"
"wall","street","wall street","business"
"street","journal","street journal","business"
"journal","financial","journal financial","business"
"financial","times","financial times","business"
"times","suggested","times suggested","business"
"suggested","french","suggested french","business"
"french","spirits","french spirits","business"
"spirits","firm","spirits firm","business"
"firm","bid","firm bid","business"
"bid","contact","bid contact","business"
"contact","target","contact target","business"
"target","allied","target allied","business"
"allied","domecq","allied domecq","business"
"domecq","shares","domecq shares","business"
"shares","london","shares london","business"
"london","rose","london rose","business"
"rose","gmt","rose gmt","business"
"gmt","pernod","gmt pernod","business"
"pernod","shares","pernod shares","business"
"shares","paris","shares paris","business"
"paris","slipped","paris slipped","business"
"slipped","pernod","slipped pernod","business"
"pernod","seeking","pernod seeking","business"
"seeking","acquisitions","seeking acquisitions","business"
"acquisitions","refused","acquisitions refused","business"
"refused","comment","refused comment","business"
"comment","specifics","comment specifics","business"
"specifics","pernods","specifics pernods","business"
"pernods","major","pernods major","business"
"major","purchase","major purchase","business"
"purchase","giant","purchase giant","business"
"giant","seagram","giant seagram","business"
"seagram","move","seagram move","business"
"move","propelled","move propelled","business"
"propelled","global","propelled global","business"
"global","top","global top","business"
"top","drinks","top drinks","business"
"drinks","firms","drinks firms","business"
"firms","twothirds","firms twothirds","business"
"twothirds","seagram","twothirds seagram","business"
"seagram","bought","seagram bought","business"
"bought","market","bought market","business"
"market","leader","market leader","business"
"leader","diageo","leader diageo","business"
"diageo","terms","diageo terms","business"
"terms","market","terms market","business"
"market","pernod","market pernod","business"
"pernod","euros","pernod euros","business"
"euros","allied","euros allied","business"
"allied","domecq","allied domecq","business"
"domecq","capitalisation","domecq capitalisation","business"
"capitalisation","euros","capitalisation euros","business"
"euros","pernod","euros pernod","business"
"pernod","buy","pernod buy","business"
"buy","glenmorangie","buy glenmorangie","business"
"glenmorangie","scotlands","glenmorangie scotlands","business"
"scotlands","premier","scotlands premier","business"
"premier","whisky","premier whisky","business"
"whisky","firms","whisky firms","business"
"firms","lost","firms lost","business"
"lost","luxury","lost luxury","business"
"luxury","firm","luxury firm","business"
"firm","lvmh","firm lvmh","business"
"lvmh","pernod","lvmh pernod","business"
"pernod","home","pernod home","business"
"home","brands","home brands","business"
"brands","including","brands including","business"
"including","chivas","including chivas","business"
"chivas","regal","chivas regal","business"
"regal","scotch","regal scotch","business"
"scotch","whisky","scotch whisky","business"
"whisky","havana","whisky havana","business"
"havana","club","havana club","business"
"club","rum","club rum","business"
"rum","jacobs","rum jacobs","business"
"jacobs","creek","jacobs creek","business"
"creek","wine","creek wine","business"
"wine","allied","wine allied","business"
"allied","domecqs","allied domecqs","business"
"domecqs","names","domecqs names","business"
"names","include","names include","business"
"include","malibu","include malibu","business"
"malibu","rum","malibu rum","business"
"rum","courvoisier","rum courvoisier","business"
"courvoisier","brandy","courvoisier brandy","business"
"brandy","stolichnaya","brandy stolichnaya","business"
"stolichnaya","vodka","stolichnaya vodka","business"
"vodka","ballantines","vodka ballantines","business"
"ballantines","whisky","ballantines whisky","business"
"whisky","snack","whisky snack","business"
"snack","food","snack food","business"
"food","chains","food chains","business"
"chains","dunkin","chains dunkin","business"
"dunkin","donuts","dunkin donuts","business"
"donuts","baskinrobbins","donuts baskinrobbins","business"
"baskinrobbins","ice","baskinrobbins ice","business"
"ice","cream","ice cream","business"
"cream","wsj","cream wsj","business"
"wsj","ripe","wsj ripe","business"
"ripe","consolidation","ripe consolidation","business"
"consolidation","dealt","consolidation dealt","business"
"dealt","problematic","dealt problematic","business"
"problematic","portfolio","problematic portfolio","business"
"portfolio","pernod","portfolio pernod","business"
"pernod","reduced","pernod reduced","business"
"reduced","debt","reduced debt","business"
"debt","fund","debt fund","business"
"fund","seagram","fund seagram","business"
"seagram","purchase","seagram purchase","business"
"purchase","euros","purchase euros","business"
"euros","allied","euros allied","business"
"allied","improved","allied improved","business"
"improved","performance","improved performance","business"
"performance","fastfood","performance fastfood","business"
"fastfood","chains","fastfood chains","business"
"chains","japan","chains japan","business"
"japan","narrowly","japan narrowly","business"
"narrowly","escapes","narrowly escapes","business"
"escapes","recession","escapes recession","business"
"recession","japans","recession japans","business"
"japans","economy","japans economy","business"
